run,stage,model,direction,batch,q,steps,arm,cut,policy,n,e2e_p50_ms,e2e_p95_ms,prefill_p50_ms,decode_step_p50_ms,correct,logits_max_abs,kv_max_abs,wire_bytes,activation_bytes,first_endpoint_weight_bytes,first_kv_bytes,first_weight_slot_bytes,first_resident_block_bytes,first_pinned_weight_bytes,first_gpu_allocated_peak_bytes,first_gpu_reserved_peak_bytes,first_rss_sampled_peak_bytes,first_weight_transfer_bytes,first_weight_transfers,first_h2d_chunk_sum_ms,first_weight_host_wait_ms,first_weight_gpu_wait_ms,first_compute_cuda_ms,first_buffer_host_wait_ms,first_buffer_gpu_wait_ms,first_activation_receive_wait_ms,last_endpoint_weight_bytes,last_kv_bytes,last_weight_slot_bytes,last_resident_block_bytes,last_pinned_weight_bytes,last_gpu_allocated_peak_bytes,last_gpu_reserved_peak_bytes,last_rss_sampled_peak_bytes,last_weight_transfer_bytes,last_weight_transfers,last_h2d_chunk_sum_ms,last_weight_host_wait_ms,last_weight_gpu_wait_ms,last_compute_cuda_ms,last_buffer_host_wait_ms,last_buffer_gpu_wait_ms,last_activation_receive_wait_ms,h2d_overlap_lower_ms,h2d_overlap_upper_ms,clock_offset_width_ms
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,32,8,Cresident,2,priority,3,25.03339910507202,27.251171827316284,4.085982799530029,3.014699935913086,True,0.0,0.0,62106,59904,80366592,718848,0,85054464,85054464,176653824,190840832,1733910528,0,0,0.0,0.0,0.0,8.877247959375381,0.0,0.0,0.0,77220864,718848,0,85054464,85054464,176323584,190840832,1752903680,0,0,0.0,0.0,0.0,6.285311996936798,0.0,0.0,15.314667463302612,0.0,0.0,0.1027059555053711
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,32,8,Rresident,2,priority,3,33.800432205200195,34.51214499473572,6.007574558258057,3.9342823028564453,True,0.0,0.0,184990,179712,80366592,718848,0,85054464,85054464,176653824,190840832,1736720384,0,0,0.0,0.0,0.0,10.162784039974213,0.0,0.0,6.5321550369262695,77220864,718848,0,85054464,85054464,176322048,190840832,1775489024,0,0,0.0,0.0,0.0,7.075232058763504,0.0,0.0,19.514689683914185,0.0,0.0,0.10622334480285645
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,32,8,C0,2,window2,3,139.4562644958496,139.6890347480774,16.96579599380493,17.36272382736206,True,0.0,0.0,62138,59904,80366592,718848,85054464,0,85054464,176653824,190840832,1750188032,680435712,16,52.959582567214966,54.82692623138428,0.1805759984999895,9.125471949577332,0.05431556701660156,0.1531520001590252,0.0,77220864,718848,85054464,0,85054464,176323584,190840832,1762902016,680435712,16,28.365633010864258,31.416411638259888,0.3718719994649291,19.13251221179962,0.09765028953552246,0.25651200022548437,80.15964412689209,0.0,0.0,0.3371701240539551
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,32,8,R0,2,window2,3,131.81533098220825,135.08740367889405,16.527514934539795,16.768390655517578,True,0.0,0.0,184990,179712,80366592,718848,85054464,0,85054464,176653824,190840832,1745043456,680435712,16,52.84369736909866,54.15262222290039,0.14143999945372343,7.878880053758621,0.039250850677490234,0.09872000059112906,28.25288486480713,77220864,718848,85054464,0,85054464,176322048,190840832,1761067008,680435712,16,28.445324420928955,30.497920036315918,0.28073600213974714,14.858303785324097,0.06801748275756836,0.1697919990401715,73.40154385566711,0.0,0.0,0.12451291084289551
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,32,8,C1,1,priority,3,63.35228204727173,72.8999093055725,13.6233229637146,6.998002052307129,True,0.0,0.0,62138,59904,80366592,359424,85054464,0,42527232,176294400,190840832,1728888832,340217856,8,27.701402127742767,3.4760570526123047,0.40070399921387434,15.587487697601318,16.545198440551758,0.4044159986078739,0.0,77220864,1078272,85054464,0,127581696,176683008,190840832,1755201536,1020653568,24,42.99741321802139,10.653809547424316,0.3927680002525449,12.194528013467789,16.553919315338135,0.35648000077344477,36.27719235420227,7.266955852508545,18.080784797668457,0.14482498168945312
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,32,8,C1,2,priority,3,59.97001123428345,60.31414036750793,11.708187103271484,6.844812393188477,True,0.0,0.0,62138,59904,80366592,718848,85054464,0,85054464,176653824,190840832,1750941696,680435712,16,53.39573812484741,26.70086145401001,0.3975359993055463,7.777119964361191,0.022627830505371094,0.4137279991991818,0.0,77220864,718848,85054464,0,85054464,176323584,190840832,1759604736,680435712,16,28.826495990157127,0.04300069808959961,0.32399999629706144,10.3788161277771,23.2420334815979,0.15014400170184672,42.951573610305786,18.011881828308105,30.713721752166748,0.10015392303466797
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,32,8,C1,3,priority,3,89.4950041770935,89.90391745567322,15.69057035446167,10.36133098602295,True,0.0,0.0,62138,59904,80366592,1078272,85054464,0,127581696,177013248,190840832,1747210240,1020653568,24,80.4970805644989,35.96777057647705,0.5295680025592446,13.786016017198563,0.03514289855957031,0.5178879993036389,0.0,77220864,359424,85054464,0,42527232,175962624,190840832,1734967296,340217856,8,14.9113167822361,0.06659841537475586,0.2909759972244501,15.511328101158142,51.91122269630432,0.39519999432377517,61.329123973846436,5.998556613922119,16.772247314453125,0.18344831466674805
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,32,8,R1,2,priority,3,60.12252140045166,60.645099401474,11.104267597198486,6.976003646850586,True,0.0,0.0,184990,179712,80366592,718848,85054464,0,85054464,176653824,190840832,1746153472,680435712,16,53.6684947013855,12.454807758331299,0.4251839993521571,9.50220799446106,0.024416446685791016,0.3898240001872182,12.059486865997314,77220864,718848,85054464,0,85054464,176322048,190840832,1775489024,680435712,16,28.747905910015106,0.04307389259338379,0.18201600201427937,9.879712164402008,23.25590491294861,0.1887039989233017,36.28187680244446,17.150248050689697,30.10083770751953,0.09817314147949219
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,32,8,C1,1,window2,3,66.6513786315918,70.16418452262879,14.013113975524902,7.421846389770508,True,0.0,0.0,62138,59904,80366592,359424,85054464,0,42527232,176294400,190840832,1729200128,340217856,8,26.565017104148865,3.2001218795776367,0.476927999407053,16.655680179595947,21.9087176322937,0.39161599427461624,0.0,77220864,1078272,85054464,0,127581696,176683008,190840832,1759604736,1020653568,24,42.60205790400505,9.406183958053589,0.4413759973831475,11.367680072784424,21.320984601974487,0.2858559989836067,38.604514837265015,5.860737323760986,13.840226173400879,0.1453847885131836
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,32,8,C1,2,window2,3,59.77440118789673,60.061493682861325,11.899721622467041,6.706504821777344,True,0.0,0.0,62138,59904,80366592,718848,85054464,0,85054464,176653824,190840832,1751203840,680435712,16,53.239184975624084,17.23849105834961,0.3934399979189038,11.038240045309067,0.0451054573059082,0.27350400295108557,0.0,77220864,718848,85054464,0,85054464,176323584,190840832,1767575552,680435712,16,28.537687748670578,0.05940556526184082,0.4360960032790899,14.25465601682663,25.033921241760254,0.18905600253492594,36.02931094169617,17.393250465393066,29.38877010345459,0.09825515747070312
