run,model,direction,batch,q,arm,cut,policy,allocator_cap_each_node_bytes,communication_pinned_each_node_bytes,first_explicit_pinned_live_bytes,last_explicit_pinned_live_bytes
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,32,C1,1,priority,4294967296,49152,42576384,127630848
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,32,C1,2,priority,4294967296,49152,85103616,85103616
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,32,C1,3,priority,4294967296,49152,127630848,42576384
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,32,R1,2,priority,4294967296,49152,85103616,85103616
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,32,C1,1,window2,4294967296,49152,42576384,127630848
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,32,C1,2,window2,4294967296,49152,85103616,85103616
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,32,C1,3,window2,4294967296,49152,127630848,42576384
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,32,R1,2,window2,4294967296,49152,85103616,85103616
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,128,Cresident,2,priority,4294967296,196608,85251072,85251072
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,128,Rresident,2,priority,4294967296,196608,85251072,85251072
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,128,C0,2,window2,4294967296,196608,85251072,85251072
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,128,R0,2,window2,4294967296,196608,85251072,85251072
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,128,C1,1,priority,4294967296,196608,42723840,127778304
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,128,C1,2,priority,4294967296,196608,85251072,85251072
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,128,C1,3,priority,4294967296,196608,127778304,42723840
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,128,R1,2,priority,4294967296,196608,85251072,85251072
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,128,C1,1,window2,4294967296,196608,42723840,127778304
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,128,C1,2,window2,4294967296,196608,85251072,85251072
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,128,C1,3,window2,4294967296,196608,127778304,42723840
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,1,128,R1,2,window2,4294967296,196608,85251072,85251072
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,4,256,Cresident,2,priority,4294967296,1572864,86627328,86627328
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,4,256,Rresident,2,priority,4294967296,1572864,86627328,86627328
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,4,256,C0,2,window2,4294967296,1572864,86627328,86627328
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,4,256,R0,2,window2,4294967296,1572864,86627328,86627328
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,4,256,C1,1,priority,4294967296,1572864,44100096,129154560
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,4,256,C1,2,priority,4294967296,1572864,86627328,86627328
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,4,256,C1,3,priority,4294967296,1572864,129154560,44100096
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,4,256,R1,2,priority,4294967296,1572864,86627328,86627328
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,4,256,C1,1,window2,4294967296,1572864,44100096,129154560
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,4,256,C1,2,window2,4294967296,1572864,86627328,86627328
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,4,256,C1,3,window2,4294967296,1572864,129154560,44100096
experiments/inferrelay_two_node/results/t3-125m-b-a-02,opt-125m,B-A,4,256,R1,2,window2,4294967296,1572864,86627328,86627328
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,32,Cresident,2,priority,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,32,Rresident,2,priority,4294967296,131072,1208729600,1208729600
